StatTime	Account	Role	ItemName	G	D	P	Cnt
2019_09_26 14:28:17	nuhoangkim4	0000x0000000	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	nuhoangkim4	000100011	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	dinhnghia37	1102AloXo	C©y b∏t nh∑ nh·	2	0	504	9
2019_09_26 14:28:17	dinhnghia37	1102AloXo	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	123456	11111111111	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	laogiamin6	11111111123q	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	clone13	1211312313123	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	nsnl13028	12152125	Tu Ch©n Y’u Quy’t	2	0	554	10
2019_09_26 14:28:17	nsnl13028	12152125	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	clone10	123123	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	mjkjmjkj3	12312312	C©y b∏t nh∑ to	2	0	398	10
2019_09_26 14:28:17	mjkjmjkj3	12312312	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_26 14:28:17	mjkjmjkj3	12312312	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	mjkjmjkj4	123123123	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	clone11	1231231231231231	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	clone16	1231231231231a	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	clone17	123123123231234	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	namti20117	12312312asd	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	namti20116	123123asd	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	clone10	123123qwead	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	toolest6	12312415	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	clone16	12312az	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	giomuadongbac1	12312casd	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	giomuadongbac	1231312	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	trihao1	123213	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	trihao2	123213111	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	satuyen	12321321312	Tu Ch©n Y’u Quy’t	2	0	554	10
2019_09_26 14:28:17	satuyen	12321321312	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	giomuadongbac2	12321acx	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	giomuadongbac2	12321dzx	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	trihao3	12321qweqwe	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	laogiamin	1233qwewqe	C©y b∏t nh∑ to	2	0	398	10
2019_09_26 14:28:17	laogiamin	1233qwewqe	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_26 14:28:17	laogiamin	1233qwewqe	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	laogiamin	1233qwewqe	Tui Hat Giong	2	1	30087	2
2019_09_26 14:28:17	cuongdau1x	123456	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	namti20119	12345678a	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	namti20119	12345678i	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	namti20119	12345678q	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	clone17	1236asdcfhtr54	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	clone13	1237834587937849	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	clone14	123aaaaaaaaaaaaa	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	clone15	123aaddddd	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	clone12	123ad123123	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	clone11	123asd111	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	clone30	123asd12	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	namti20118	123asd123412	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	namti20118	123asd123asd	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	namti20118	123asd123asdasd	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	namti20117	123asd123we	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	clone26	123asd23	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	dinhnghia38	123ASDA	C©y b∏t nh∑ to	2	0	398	10
2019_09_26 14:28:17	dinhnghia38	123ASDA	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_26 14:28:17	dinhnghia38	123ASDA	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	dinhnghia38	123ASDA	Tui Hat Giong	2	1	30087	2
2019_09_26 14:28:17	test12345vn	123asdasdasd	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	giomuadongbac2	123axcz	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	clone17	123axzcwdwe	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	tiensinh034	123bvas1	C©y b∏t nh∑ to	2	0	398	1
2019_09_26 14:28:17	tiensinh034	123bvas1	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_26 14:28:17	tiensinh034	123bvas1	Tui Hat Giong	2	1	30087	2
2019_09_26 14:28:17	test123vn	123dsfsd	Tu Ch©n Y’u Quy’t	2	0	554	10
2019_09_26 14:28:17	test123vn	123dsfsd	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	clone29	123ghjfg123	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	cayvang	123qwewq1	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	duy123vn	123sdfsdf	Chi’n Th«n hoµn	2	1	1005	1
2019_09_26 14:28:17	dinhnghia37	123SUTVACDIE	C©y b∏t nh∑ to	2	0	398	5
2019_09_26 14:28:17	dinhnghia37	123SUTVACDIE	C©y b∏t nh∑ nh·	2	0	504	10
