StatTime	Account	Role	ItemName	G	D	P	Cnt
2019_09_22 19:27:56	lamhoang12542	051154aa	Qu©n C«ng §¹i	2	1	9998	1
2019_09_22 19:27:56	lamhoang12542	051154aa	Thiªn Th¹ch Tinh Th¹	2	1	1009	8
2019_09_22 19:27:56	lamhoang12542	051154aa	Thien Dia Gioi	0	102	30038	1
2019_09_22 19:27:56	lamhoang12542	051154aa	Nhat Nguyet Gioi	0	102	30037	1
2019_09_22 19:27:56	lamhoang12542	051154aa	Linh Do Gioi Trai	0	102	30221	4
2019_09_22 19:27:56	lamhoang12542	051154aa	Linh Do Gioi Phai	0	102	30222	1
2019_09_22 19:27:56	lamhoang12542	051154aa	Quan Cong Vinh Du	2	1	30642	13
2019_09_22 19:27:56	qweqaz141	0PkChinhPhai	Non Thien Ha Vo Song	0	101	30207	1
2019_09_22 19:27:56	qweqaz141	0PkChinhPhai	Ao Thien Ha Vo Song	0	100	30207	1
2019_09_22 19:27:56	qweqaz141	0PkChinhPhai	Quan Thien Ha Vo Son	0	103	30207	1
2019_09_22 19:27:56	qweqaz141	0PkChinhPhai	Thien Dia Gioi	0	102	30038	1
2019_09_22 19:27:56	qweqaz141	0PkChinhPhai	Nhat Nguyet Gioi	0	102	30037	1
2019_09_22 19:27:56	queonhoc1	321321sada	Thien Cang Lenh	2	95	204	10
2019_09_22 19:27:56	queonhoc1	321321sada	Huyet Trich Thach 4	2	22	104	100
2019_09_22 19:27:56	queonhoc1	321321sada	Huyet Trich Thach 5	2	22	105	100
2019_09_22 19:27:56	queonhoc1	321321sada	Huyet Trich Thach 6	2	22	106	100
2019_09_22 19:27:56	queonhoc1	321321sada	Ho Phach Thach 4	2	22	304	100
2019_09_22 19:27:56	queonhoc1	321321sada	Ho Phach Thach 5	2	22	305	100
2019_09_22 19:27:56	queonhoc1	321321sada	Ho Phach Thach 6	2	22	306	100
2019_09_22 19:27:56	queonhoc1	321321sada	Nguyet Bach Thach 4	2	22	204	100
2019_09_22 19:27:56	queonhoc1	321321sada	Nguyet Bach Thach 5	2	22	205	100
2019_09_22 19:27:56	queonhoc1	321321sada	Nguyet Bach Thach 6	2	22	206	100
2019_09_22 19:27:56	queonhoc1	321321sada	Hac Dieu Thach 4	2	22	404	100
2019_09_22 19:27:56	queonhoc1	321321sada	Hac Dieu Thach 5	2	22	405	100
2019_09_22 19:27:56	queonhoc1	321321sada	Hac Dieu Thach 6	2	22	406	100
2019_09_22 19:27:56	queonhoc1	321321sada	Thien Dia Gioi	0	102	30038	1
2019_09_22 19:27:56	queonhoc1	321321sada	Nhat Nguyet Gioi	0	102	30037	1
2019_09_22 19:27:56	juffx159	5Déc§aT×nh	Xu	2	1	30230	1000
2019_09_22 19:27:56	juffx159	5Déc§aT×nh	Non Thien Ha Vo Song	0	101	30207	1
2019_09_22 19:27:56	juffx159	5Déc§aT×nh	Ao Thien Ha Vo Song	0	100	30207	1
2019_09_22 19:27:56	juffx159	5Déc§aT×nh	Quan Thien Ha Vo Son	0	103	30207	1
2019_09_22 19:27:56	cbbeo1	Aloalo123	Non Thien Ha Vo Song	0	101	30207	4
2019_09_22 19:27:56	cbbeo1	Aloalo123	Ao Thien Ha Vo Song	0	100	30207	2
2019_09_22 19:27:56	cbbeo1	Aloalo123	Quan Thien Ha Vo Son	0	103	30207	1
2019_09_22 19:27:56	cbbeo1	Aloalo123	Thien Dia Gioi	0	102	30038	1
2019_09_22 19:27:56	cbbeo1	Aloalo123	Nhat Nguyet Gioi	0	102	30037	1
2019_09_22 19:27:56	cbbeo1	Aloalo123	Tay Cam Thach 4	2	1	30524	46
2019_09_22 19:27:56	cbbeo1	Aloalo123	Luyen Lo Thach 4	2	1	30530	41
2019_09_22 19:27:56	43017lam	AnhHïngX¹§iªu	Non Thien Ha Vo Song	0	101	30207	2
2019_09_22 19:27:56	43017lam	AnhHïngX¹§iªu	Ao Thien Ha Vo Song	0	100	30207	1
2019_09_22 19:27:56	43017lam	AnhHïngX¹§iªu	Quan Thien Ha Vo Son	0	103	30207	2
2019_09_22 19:27:56	43017lam	AnhHïngX¹§iªu	Thien Dia Gioi	0	102	30038	1
2019_09_22 19:27:56	43017lam	AnhHïngX¹§iªu	Nhat Nguyet Gioi	0	102	30037	1
2019_09_22 19:27:56	emtaboi1	AnhKhoa	Non Thien Ha Vo Song	0	101	30207	1
2019_09_22 19:27:56	emtaboi1	AnhKhoa	Ao Thien Ha Vo Song	0	100	30207	2
2019_09_22 19:27:56	emtaboi1	AnhKhoa	Quan Thien Ha Vo Son	0	103	30207	2
2019_09_22 19:27:56	emtaboi1	AnhKhoa	Thien Dia Gioi	0	102	30038	1
2019_09_22 19:27:56	emtaboi1	AnhKhoa	Nhat Nguyet Gioi	0	102	30037	1
2019_09_22 19:27:56	tlqsutdaklak	âsddsads	Non Thien Ha Vo Song	0	101	30207	1
2019_09_22 19:27:56	tlqsutdaklak	âsddsads	Ao Thien Ha Vo Song	0	100	30207	1
2019_09_22 19:27:56	tlqsutdaklak	âsddsads	Quan Thien Ha Vo Son	0	103	30207	1
2019_09_22 19:27:56	tlqsutdaklak	âsddsads	Linh Do Gioi Trai	0	102	30221	5
2019_09_22 19:27:56	tlqsutdaklak	âsddsads	Linh Do Gioi Phai	0	102	30222	5
2019_09_22 19:27:56	tlqsutdaklak	âsddsads	Linh Do Mao	0	103	30235	5
2019_09_22 19:27:56	tlqsutdaklak	âsddsads	Linh Do Y 1	0	100	30235	3
2019_09_22 19:27:56	tlqsutdaklak	âsddsads	Linh Do Trang 1	0	101	30235	3
2019_09_22 19:27:56	phuoc1255vn2019	BèG×aPK§Ò3F9	Non Thien Ha Vo Song	0	101	30207	1
2019_09_22 19:27:56	phuoc1255vn2019	BèG×aPK§Ò3F9	Ao Thien Ha Vo Song	0	100	30207	1
2019_09_22 19:27:56	phuoc1255vn2019	BèG×aPK§Ò3F9	Quan Thien Ha Vo Son	0	103	30207	1
2019_09_22 19:27:56	beoga195	BeoBungBu	Non Thien Ha Vo Song	0	101	30207	1
2019_09_22 19:27:56	beoga195	BeoBungBu	Ao Thien Ha Vo Song	0	100	30207	1
2019_09_22 19:27:56	beoga195	BeoBungBu	Quan Thien Ha Vo Son	0	103	30207	1
2019_09_22 19:27:56	beoga195	BeoBungBu	Thien Dia Gioi	0	102	30038	1
2019_09_22 19:27:56	beoga195	BeoBungBu	Nhat Nguyet Gioi	0	102	30037	1
2019_09_22 19:27:56	beoga195	BeoBungBu	Tay Cam Thach 4	2	1	30524	100
2019_09_22 19:27:56	beoga195	BeoBungBu	Luyen Lo Thach 4	2	1	30530	100
2019_09_22 19:27:56	longksl199	BeTapBanCung	Thien Dia Gioi	0	102	30038	1
2019_09_22 19:27:56	longksl199	BeTapBanCung	Nhat Nguyet Gioi	0	102	30037	1
2019_09_22 19:27:56	cuoctinh100	BimBim	Non Thien Ha Vo Song	0	101	30207	1
2019_09_22 19:27:56	cuoctinh100	BimBim	Ao Thien Ha Vo Song	0	100	30207	1
2019_09_22 19:27:56	cuoctinh100	BimBim	Quan Thien Ha Vo Son	0	103	30207	1
