StatTime	Account	Role	ItemName	G	D	P	Cnt
2019_07_09 20:29:22	anhdayhpv02	0000000000000	Linh Do Y 1	0	100	30235	1
2019_07_09 20:29:22	anhdayhpv02	0000000000000	Linh Do Trang 1	0	101	30235	1
2019_07_09 20:29:22	votrung103	0000000000000000	Thien Dia Gioi	0	102	30038	1
2019_07_09 20:29:22	votrung103	0000000000000000	Nhat Nguyet Gioi	0	102	30037	1
2019_07_09 20:29:22	lehongthanh1	000Ram000	Thien Dia Gioi	0	102	30038	1
2019_07_09 20:29:22	lehongthanh1	000Ram000	Nhat Nguyet Gioi	0	102	30037	1
2019_07_09 20:29:22	lehongthanh	000Rem000	Thiªn Th¹ch Tinh Th¹	2	1	1009	196
2019_07_09 20:29:22	lehongthanh	000Rem000	Thien Dia Gioi	0	102	30038	1
2019_07_09 20:29:22	lehongthanh	000Rem000	Nhat Nguyet Gioi	0	102	30037	1
2019_07_09 20:29:22	lehongthanh	000Rem000	Linh Do Gioi Trai	0	102	30221	1
2019_07_09 20:29:22	lehongthanh	000Rem000	Linh Do Gioi Phai	0	102	30222	1
2019_07_09 20:29:22	lehongthanh	000Rem000	Linh Do Y 4	0	100	30238	1
2019_07_09 20:29:22	anhhung1990wtb	00ooo00	Thien Dia Gioi	0	102	30038	1
2019_07_09 20:29:22	anhhung1990wtb	00ooo00	Nhat Nguyet Gioi	0	102	30037	1
2019_07_09 20:29:22	anhhung1990wtb	00ooo00	Linh Do Gioi Trai	0	102	30221	4
2019_07_09 20:29:22	anhhung1990wtb	00ooo00	Linh Do Gioi Phai	0	102	30222	4
2019_07_09 20:29:22	anhhung1990wtb	00ooo00	Linh Do Mao	0	103	30235	4
2019_07_09 20:29:22	anhhung1990wtb	00ooo00	Linh Do Y 1	0	100	30235	4
2019_07_09 20:29:22	anhhung1990wtb	00ooo00	Linh Do Trang 1	0	101	30235	4
2019_07_09 20:29:22	ccccccc1111	0202222022	Thien Dia Gioi	0	102	30038	1
2019_07_09 20:29:22	ccccccc1111	0202222022	Nhat Nguyet Gioi	0	102	30037	1
2019_07_09 20:29:22	ccccccc1111	0202222022	Linh Do Gioi Phai	0	102	30222	1
2019_07_09 20:29:22	ccccccc1111	0202222022	Linh Do Mao	0	103	30235	1
2019_07_09 20:29:22	ccccccc1111	0202222022	Linh Do Y 1	0	100	30235	1
2019_07_09 20:29:22	ccccccc1111	0202222022	Linh Do Trang 1	0	101	30235	1
2019_07_09 20:29:22	lamhoang12542	051154	Thiªn Th¹ch linh th¹	2	1	1068	1
2019_07_09 20:29:22	lamhoang12542	051154	Thien Cang Lenh	2	95	204	20
2019_07_09 20:29:22	lamhoang12542	051154	Thien Mon Kim Lenh	2	1	30370	30
2019_07_09 20:29:22	lamhoang12542	051154	Cuong Hoa Quyen 12	2	1	30424	410
2019_07_09 20:29:22	lamhoang12542	051154	Cuong Hoa Quyen 13	2	1	30425	334
2019_07_09 20:29:22	lamhoang12542	051154	Cuong Hoa Quyen 14	2	1	30426	300
2019_07_09 20:29:22	lamhoang12542	051154	Cuong Hoa Quyen 15	2	1	30427	262
2019_07_09 20:29:22	lamhoang12542	051154	Van Nang Phu	2	1	30470	1
2019_07_09 20:29:22	lamhoang12542	051154	Huyet Trich Thach 5	2	22	105	100
2019_07_09 20:29:22	lamhoang12542	051154	Thien Dia Gioi	0	102	30038	1
2019_07_09 20:29:22	lamhoang12542	051154	Nhat Nguyet Gioi	0	102	30037	1
2019_07_09 20:29:22	lamhoang12542	051154	Linh Do Gioi Trai	0	102	30221	1
2019_07_09 20:29:22	lamhoang12542	051154	Linh Do Gioi Phai	0	102	30222	1
2019_07_09 20:29:22	lamhoang12542	051154	Linh Do Mao	0	103	30235	1
