Account	Name	Route	TransLife	Level	IBCost	Money	A	B	C	D	E	F	Exp	Last_IP	CreateDate	LastLoginDate
quandtu2	asassa	Nga My xuÊt gia  	7	90	0	1000000	0	0	0	0	0	0	0	113.172.230.187	2019-06-26 09:15:14	2019-06-26 09:17:48
quandtu4	asdadad	D­¬ng M«n th­¬ng Kþ  	7	90	0	1000000	0	0	0	0	0	0	0	113.172.230.187	2019-06-26 09:16:18	2019-06-26 09:17:33
ismyturn12	Bicaso98	V« m«n ph¸i  	0	2	0	0	0	0	0	0	0	0	0	118.70.81.15	2019-06-23 11:32:37	2019-06-23 11:50:49
test	Caveeee	V« m«n ph¸i  	0	1	0	0	0	0	0	0	0	0	0		2019-06-21 12:11:30	1969-12-31 19:00:00
tuanjxvn	Custom	C¸i Bang ¤ Y  	7	90	0	10000000	0	0	0	0	0	0	0	118.69.77.80	2019-06-26 09:36:33	2019-06-26 09:54:13
test	DGTTHUONG	D­¬ng M«n th­¬ng Kþ  	7	90	2200	4747000	0	0	0	0	0	0	0	1.52.34.134	2019-06-19 05:15:24	2019-06-21 05:52:18
utchit4	DuongGia	D­¬ng M«n th­¬ng Kþ  	7	90	70000	9602600	0	0	0	0	0	0	70999	113.172.230.187	2019-06-26 09:31:45	2019-06-26 11:23:03
utchit5	DuongMon	§­êng M«n phæ th«ng  	7	90	0	532000	0	0	0	0	0	0	76710	113.172.230.187	2019-06-26 09:31:34	2019-06-26 11:22:15
quandtu3	eeewewe	HiÖp §éc  	7	90	0	1000000	0	0	0	0	0	0	0	113.172.230.187	2019-06-26 09:16:17	2019-06-26 09:17:31
quandtu	eqeqeqeqe	Thóy Yªn Vò Tiªn  	7	90	1048	73000	0	0	0	0	0	0	1	113.23.29.150	2019-06-26 09:00:14	2019-06-26 10:37:51
quandtu1	ffgfgfg	§­êng M«n phæ th«ng  	7	90	0	1000000	0	0	0	0	0	0	0	113.172.230.187	2019-06-26 09:14:47	2019-06-26 09:19:04
utchit1	HiepDoc	HiÖp §éc  	7	90	0	328500	0	0	0	0	0	0	30256	113.172.230.187	2019-06-26 09:31:26	2019-06-26 11:22:11
quandtu	JX2VIET	Nga My tôc gia  	7	90	2389	10000000	0	0	0	0	0	0	0	113.172.230.187	2019-06-23 07:32:57	2019-06-26 08:56:40
utchit3	NgaMimi	Nga My xuÊt gia  	7	90	0	468500	0	0	0	0	0	0	1710	113.172.230.187	2019-06-26 09:31:49	2019-06-26 11:15:21
test	QUANDTU	ThiÕu L©m vâ t¨ng  	7	90	416	10117000	0	0	0	0	0	0	2141	1.52.34.134	2019-06-18 09:09:15	2019-06-21 05:59:19
quandtu	QUANDTUA	C¸i Bang ¤ Y  	7	90	1200	20998500	0	0	0	0	0	0	0	113.172.230.187	2019-06-21 23:38:30	2019-06-26 08:59:11
utchit2	ThieuLam	ThiÕu L©m thiÒn t¨ng  	7	90	0	365500	0	0	0	0	0	0	1710	113.172.230.187	2019-06-26 09:31:31	2019-06-26 11:15:21
test03	thuan12	ThiÕu L©m vâ t¨ng  	7	90	0	950000	0	0	0	0	0	0	0	1.52.34.134	2019-06-19 06:16:14	2019-06-19 08:00:03
testdonha	tuiastui	ThiÕu L©m vâ t¨ng  	7	90	400	897501	0	0	0	0	0	0	4	115.75.98.127	2019-06-26 09:33:21	2019-06-26 13:10:33
quandtu5	wewsdsd	ThiÕu L©m thiÒn t¨ng  	7	90	0	1000000	0	0	0	0	0	0	0	113.172.230.187	2019-06-26 09:16:21	2019-06-26 09:17:35
XuÊt d÷ liÖu hoµn tÊt
