StatTime	Account	Role	ItemName	G	D	P	Cnt
2019_09_28 21:21:32	chiton222	111111	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_28 21:21:32	chiton222	111111	Tui Hat Giong	2	1	30087	2
2019_09_28 21:21:32	loangianghotlq	111111111111aa11	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_28 21:21:32	loangianghotlq	111111111111aa11	Tui Hat Giong	2	1	30087	2
2019_09_28 21:21:32	chiton222	111111111zz	C©y b∏t nh∑ to	2	0	398	6
2019_09_28 21:21:32	chiton222	111111111zz	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_28 21:21:32	chiton222	111111111zz	Tui Hat Giong	2	1	30087	2
2019_09_28 21:21:32	bnl666	111111d	C©y b∏t nh∑ to	2	0	398	2
2019_09_28 21:21:32	bnl666	111111d	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_28 21:21:32	bnl666	111111d	Tui Hat Giong	2	1	30087	2
2019_09_28 21:21:32	bnl222	111111q	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_28 21:21:32	bnl222	111111q	Tui Hat Giong	2	1	30087	2
2019_09_28 21:21:32	bnl999	111111ss	C©y b∏t nh∑ to	2	0	398	4
2019_09_28 21:21:32	bnl999	111111ss	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_28 21:21:32	bnl999	111111ss	Chi’n Th«n hoµn	2	1	1005	1
2019_09_28 21:21:32	bnl999	111111ss	Tui Hat Giong	2	1	30087	2
2019_09_28 21:21:32	bnl888	111111∏a	C©y b∏t nh∑ to	2	0	398	4
2019_09_28 21:21:32	bnl888	111111∏a	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_28 21:21:32	bnl888	111111∏a	Tui Hat Giong	2	1	30087	2
2019_09_28 21:21:32	chiton222	11111a	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_28 21:21:32	chiton222	11111a	Tui Hat Giong	2	1	30087	2
2019_09_28 21:21:32	bnl777	11111d	C©y b∏t nh∑ to	2	0	398	3
2019_09_28 21:21:32	bnl777	11111d	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_28 21:21:32	bnl777	11111d	Chi’n Th«n hoµn	2	1	1005	1
2019_09_28 21:21:32	bnl777	11111d	Tui Hat Giong	2	1	30087	2
2019_09_28 21:21:32	loangianghotlt	1222111111111111	C©y b∏t nh∑ nh·	2	0	504	10
2019_09_28 21:21:32	loangianghotlt	1222111111111111	Tui Hat Giong	2	1	30087	2
2019_09_28 21:21:32	tieutamhn90	123123	C©y b∏t nh∑ to	2	0	398	2
2019_09_28 21:21:32	chaistingvodau1	12312344a	Chi’n Th«n hoµn	2	1	1005	1
2019_09_28 21:21:32	nguyenkhang1113	123123qwe	C©y b∏t nh∑ to	2	0	398	3
