StatTime	Account	Role	ItemName	G	D	P	Cnt
2019_09_24 13:16:08	dta111	00000000	Non Thien Ha Vo Song	0	101	30207	1
2019_09_24 13:16:08	dta111	00000000	Ao Thien Ha Vo Song	0	100	30207	1
2019_09_24 13:16:08	dta111	00000000	Quan Thien Ha Vo Son	0	103	30207	1
2019_09_24 13:16:08	dta111	00000000	Thien Dia Gioi	0	102	30038	1
2019_09_24 13:16:08	dta111	00000000	Nhat Nguyet Gioi	0	102	30037	1
2019_09_24 13:16:08	dta111	00000000	Tay Cam Thach 4	2	1	30524	100
2019_09_24 13:16:08	dta111	00000000	Luyen Lo Thach 4	2	1	30530	27
2019_09_24 13:16:08	lamhoang12542	051154aa	Qu©n C«ng §¹i	2	1	9998	1
2019_09_24 13:16:08	lamhoang12542	051154aa	Thiªn Th¹ch Tinh Th¹	2	1	1009	8
2019_09_24 13:16:08	lamhoang12542	051154aa	Cuong Hoa Quyen 12	2	1	30424	10
2019_09_24 13:16:08	lamhoang12542	051154aa	Cuong Hoa Quyen 13	2	1	30425	10
2019_09_24 13:16:08	lamhoang12542	051154aa	Cuong Hoa Quyen 14	2	1	30426	10
2019_09_24 13:16:08	lamhoang12542	051154aa	Cuong Hoa Quyen 15	2	1	30427	10
2019_09_24 13:16:08	lamhoang12542	051154aa	Thien Dia Gioi	0	102	30038	1
2019_09_24 13:16:08	lamhoang12542	051154aa	Nhat Nguyet Gioi	0	102	30037	1
2019_09_24 13:16:08	lamhoang12542	051154aa	Linh Do Gioi Trai	0	102	30221	4
2019_09_24 13:16:08	lamhoang12542	051154aa	Linh Do Gioi Phai	0	102	30222	1
2019_09_24 13:16:08	lamhoang12542	051154aa	Quan Cong Vinh Du	2	1	30642	13
2019_09_24 13:16:08	nambeo038	0988123456	Thien Dia Gioi	0	102	30038	1
2019_09_24 13:16:08	hypeadron	0Hiihihi123	Tu Ch©n YÕu QuyÕt	2	0	554	11
2019_09_24 13:16:08	hypeadron	0Hiihihi123	Non Thien Ha Vo Song	0	101	30207	1
2019_09_24 13:16:08	hypeadron	0Hiihihi123	Ao Thien Ha Vo Song	0	100	30207	1
2019_09_24 13:16:08	hypeadron	0Hiihihi123	Quan Thien Ha Vo Son	0	103	30207	1
2019_09_24 13:16:08	hypeadron	0Hiihihi123	Thien Dia Gioi	0	102	30038	1
2019_09_24 13:16:08	hypeadron	0Hiihihi123	Nhat Nguyet Gioi	0	102	30037	1
2019_09_24 13:16:08	hypeadron	0Hiihihi123	Linh Do Gioi Trai	0	102	30221	2
2019_09_24 13:16:08	hypeadron	0Hiihihi123	Linh Do Gioi Phai	0	102	30222	2
2019_09_24 13:16:08	qweqaz141	0PkChinhPhai	Tu Ch©n YÕu QuyÕt	2	0	554	11
2019_09_24 13:16:08	qweqaz141	0PkChinhPhai	Non Thien Ha Vo Song	0	101	30207	1
2019_09_24 13:16:08	qweqaz141	0PkChinhPhai	Ao Thien Ha Vo Song	0	100	30207	1
2019_09_24 13:16:08	qweqaz141	0PkChinhPhai	Quan Thien Ha Vo Son	0	103	30207	1
2019_09_24 13:16:08	qweqaz141	0PkChinhPhai	Thien Dia Gioi	0	102	30038	1
2019_09_24 13:16:08	qweqaz141	0PkChinhPhai	Nhat Nguyet Gioi	0	102	30037	1
2019_09_24 13:16:08	chosoihatam1111	111111	Huyet Trich Thach 4	2	22	104	100
2019_09_24 13:16:08	chosoihatam1111	111111	Huyet Trich Thach 5	2	22	105	100
2019_09_24 13:16:08	chosoihatam1111	111111	Huyet Trich Thach 6	2	22	106	92
2019_09_24 13:16:08	chosoihatam1111	111111	Ho Phach Thach 4	2	22	304	100
2019_09_24 13:16:08	chosoihatam1111	111111	Ho Phach Thach 5	2	22	305	100
2019_09_24 13:16:08	chosoihatam1111	111111	Ho Phach Thach 6	2	22	306	93
2019_09_24 13:16:08	chosoihatam1111	111111	Nguyet Bach Thach 4	2	22	204	100
2019_09_24 13:16:08	chosoihatam1111	111111	Nguyet Bach Thach 5	2	22	205	100
2019_09_24 13:16:08	chosoihatam1111	111111	Nguyet Bach Thach 6	2	22	206	100
2019_09_24 13:16:08	chosoihatam1111	111111	Hac Dieu Thach 4	2	22	404	100
2019_09_24 13:16:08	chosoihatam1111	111111	Hac Dieu Thach 5	2	22	405	100
2019_09_24 13:16:08	chosoihatam1111	111111	Hac Dieu Thach 6	2	22	406	100
