StatTime	Account	Role	ItemName	G	D	P	Cnt
2019_09_17 22:55:08	anhhung1994wtb	00ooo00	Thien Dia Gioi	0	102	30038	1
2019_09_17 22:55:08	anhhung1994wtb	00ooo00	Nhat Nguyet Gioi	0	102	30037	1
2019_09_17 22:55:08	anhhung1994wtb	00ooo00	Linh Do Gioi Trai	0	102	30221	2
2019_09_17 22:55:08	anhhung1994wtb	00ooo00	Linh Do Gioi Phai	0	102	30222	2
2019_09_17 22:55:08	anhhung1994wtb	00ooo00	Linh Do Mao	0	103	30235	4
2019_09_17 22:55:08	anhhung1994wtb	00ooo00	Linh Do Y 1	0	100	30235	2
2019_09_17 22:55:08	anhhung1994wtb	00ooo00	Linh Do Trang 1	0	101	30235	3
2019_09_17 22:55:08	thanhkhang111	112qwe112	Huyet Trich Thach 4	2	22	104	100
2019_09_17 22:55:08	thanhkhang111	112qwe112	Huyet Trich Thach 5	2	22	105	100
2019_09_17 22:55:08	thanhkhang111	112qwe112	Huyet Trich Thach 6	2	22	106	97
2019_09_17 22:55:08	thanhkhang111	112qwe112	Ho Phach Thach 4	2	22	304	100
2019_09_17 22:55:08	thanhkhang111	112qwe112	Ho Phach Thach 5	2	22	305	100
2019_09_17 22:55:08	thanhkhang111	112qwe112	Ho Phach Thach 6	2	22	306	94
2019_09_17 22:55:08	thanhkhang111	112qwe112	Nguyet Bach Thach 4	2	22	204	100
2019_09_17 22:55:08	thanhkhang111	112qwe112	Nguyet Bach Thach 5	2	22	205	100
2019_09_17 22:55:08	thanhkhang111	112qwe112	Nguyet Bach Thach 6	2	22	206	100
2019_09_17 22:55:08	thanhkhang111	112qwe112	Hac Dieu Thach 4	2	22	404	100
2019_09_17 22:55:08	thanhkhang111	112qwe112	Hac Dieu Thach 5	2	22	405	100
2019_09_17 22:55:08	thanhkhang111	112qwe112	Hac Dieu Thach 6	2	22	406	100
2019_09_17 22:55:08	thangbe11	17C«BÐB¸nHoa	Thien Dia Gioi	0	102	30038	1
2019_09_17 22:55:08	thangbe11	17C«BÐB¸nHoa	Nhat Nguyet Gioi	0	102	30037	1
2019_09_17 22:55:08	utima456	1GËyVÒThµnh	Thien Dia Gioi	0	102	30038	1
2019_09_17 22:55:08	utima456	1GËyVÒThµnh	Nhat Nguyet Gioi	0	102	30037	1
2019_09_17 22:55:08	utima456	1GËyVÒThµnh	Linh Do Gioi Trai	0	102	30221	3
2019_09_17 22:55:08	utima456	1GËyVÒThµnh	Linh Do Gioi Phai	0	102	30222	3
2019_09_17 22:55:08	utima456	1GËyVÒThµnh	Linh Do Mao	0	103	30235	4
2019_09_17 22:55:08	utima456	1GËyVÒThµnh	Linh Do Y 1	0	100	30235	3
2019_09_17 22:55:08	utima456	1GËyVÒThµnh	Linh Do Trang 1	0	101	30235	3
2019_09_17 22:55:08	chansutvang	1skotet	ChiÕn ThÇn hoµn	2	1	1005	8
2019_09_17 22:55:08	chansutvang	1skotet	B¹ch Kim Hång Bao	2	1	30229	1
2019_09_17 22:55:08	chansutvang	1skotet	Thien Cang Lenh	2	95	204	10
2019_09_17 22:55:08	chansutvang	1skotet	Thien Mon Kim Lenh	2	1	30370	10
2019_09_17 22:55:08	chansutvang	1skotet	Thien Dia Gioi	0	102	30038	1
2019_09_17 22:55:08	chansutvang	1skotet	Nhat Nguyet Gioi	0	102	30037	1
2019_09_17 22:55:08	chansutvang	1skotet	Linh Do Mao	0	103	30235	1
2019_09_17 22:55:08	chansutvang	1skotet	Linh Do Trang 1	0	101	30235	1
2019_09_17 22:55:08	chansutvang	1skotet	Tay Cam Thach 4	2	1	30524	26
2019_09_17 22:55:08	chansutvang	1skotet	Luyen Lo Thach 4	2	1	30530	69
2019_09_17 22:55:08	doantiep001	1stDoiCoDoc	Thien Dia Gioi	0	102	30038	1
2019_09_17 22:55:08	doantiep001	1stDoiCoDoc	Nhat Nguyet Gioi	0	102	30037	1
2019_09_17 22:55:08	phongemga113	1stGaLai	Thien Dia Gioi	0	102	30038	1
2019_09_17 22:55:08	phongemga113	1stGaLai	Nhat Nguyet Gioi	0	102	30037	1
2019_09_17 22:55:08	phongemga113	1stGaLai	Linh Do Mao	0	103	30235	1
2019_09_17 22:55:08	phongemga113	1stGaLai	Linh Do Y 1	0	100	30235	1
2019_09_17 22:55:08	tenhoa2090	1stTrängDuy1st	Thien Dia Gioi	0	102	30038	1
2019_09_17 22:55:08	tenhoa2090	1stTrängDuy1st	Nhat Nguyet Gioi	0	102	30037	1
2019_09_17 22:55:08	tenhoa2090	1stTrängDuy1st	Linh Do Gioi Trai	0	102	30221	6
2019_09_17 22:55:08	tenhoa2090	1stTrängDuy1st	Linh Do Gioi Phai	0	102	30222	6
2019_09_17 22:55:08	tenhoa2090	1stTrängDuy1st	Linh Do Mao	0	103	30235	7
2019_09_17 22:55:08	tenhoa2090	1stTrängDuy1st	Linh Do Y 1	0	100	30235	7
2019_09_17 22:55:08	tenhoa2090	1stTrängDuy1st	Linh Do Trang 1	0	101	30235	6
2019_09_17 22:55:08	ashleytuan	312e12e21	Huyet Trich Thach 4	2	22	104	100
2019_09_17 22:55:08	ashleytuan	312e12e21	Huyet Trich Thach 5	2	22	105	100
2019_09_17 22:55:08	ashleytuan	312e12e21	Huyet Trich Thach 6	2	22	106	100
2019_09_17 22:55:08	ashleytuan	312e12e21	Ho Phach Thach 4	2	22	304	100
2019_09_17 22:55:08	ashleytuan	312e12e21	Ho Phach Thach 5	2	22	305	100
2019_09_17 22:55:08	ashleytuan	312e12e21	Ho Phach Thach 6	2	22	306	100
2019_09_17 22:55:08	ashleytuan	312e12e21	Nguyet Bach Thach 4	2	22	204	100
2019_09_17 22:55:08	ashleytuan	312e12e21	Nguyet Bach Thach 5	2	22	205	100
2019_09_17 22:55:08	ashleytuan	312e12e21	Nguyet Bach Thach 6	2	22	206	100
2019_09_17 22:55:08	ashleytuan	312e12e21	Hac Dieu Thach 4	2	22	404	100
2019_09_17 22:55:08	ashleytuan	312e12e21	Hac Dieu Thach 5	2	22	405	100
2019_09_17 22:55:08	ashleytuan	312e12e21	Hac Dieu Thach 6	2	22	406	100
2019_09_17 22:55:08	ashleytuan	312e12e21	Thien Dia Gioi	0	102	30038	1
2019_09_17 22:55:08	ashleytuan	312e12e21	Nhat Nguyet Gioi	0	102	30037	1
2019_09_17 22:55:08	ashleytuan	312e12e21	Tay Cam Thach 4	2	1	30524	10
2019_09_17 22:55:08	ashleytuan	312e12e21	Luyen Lo Thach 4	2	1	30530	10
2019_09_17 22:55:08	queonhoc1	3213213123	Huyet Trich Thach 4	2	22	104	100
2019_09_17 22:55:08	queonhoc1	3213213123	Huyet Trich Thach 5	2	22	105	100
2019_09_17 22:55:08	queonhoc1	3213213123	Huyet Trich Thach 6	2	22	106	100
2019_09_17 22:55:08	queonhoc1	3213213123	Ho Phach Thach 4	2	22	304	100
2019_09_17 22:55:08	queonhoc1	3213213123	Ho Phach Thach 5	2	22	305	100
2019_09_17 22:55:08	queonhoc1	3213213123	Ho Phach Thach 6	2	22	306	94
2019_09_17 22:55:08	queonhoc1	3213213123	Nguyet Bach Thach 4	2	22	204	100
2019_09_17 22:55:08	queonhoc1	3213213123	Nguyet Bach Thach 5	2	22	205	100
2019_09_17 22:55:08	queonhoc1	3213213123	Nguyet Bach Thach 6	2	22	206	100
2019_09_17 22:55:08	queonhoc1	3213213123	Hac Dieu Thach 4	2	22	404	100
2019_09_17 22:55:08	queonhoc1	3213213123	Hac Dieu Thach 5	2	22	405	100
2019_09_17 22:55:08	queonhoc1	3213213123	Hac Dieu Thach 6	2	22	406	100
2019_09_17 22:55:08	nhokbopq1	345345k	Thien Dia Gioi	0	102	30038	1
2019_09_17 22:55:08	nhokbopq1	345345k	Nhat Nguyet Gioi	0	102	30037	1
2019_09_17 22:55:08	newse7en	4Tuner	Thien Dia Gioi	0	102	30038	1
2019_09_17 22:55:08	newse7en	4Tuner	Nhat Nguyet Gioi	0	102	30037	1
2019_09_17 22:55:08	newse7en	4Tuner	Linh Do Mao	0	103	30235	1
2019_09_17 22:55:08	newse7en	4Tuner	Linh Do Y 1	0	100	30235	1
2019_09_17 22:55:08	chingakaka	84OfBeDeTraVinhz	Xu	2	1	30230	800
2019_09_17 22:55:08	chingakaka	84OfBeDeTraVinhz	Thien Cang Lenh	2	95	204	5
2019_09_17 22:55:08	chingakaka	84OfBeDeTraVinhz	Thien Mon Kim Lenh	2	1	30370	6
2019_09_17 22:55:08	chingakaka	84OfBeDeTraVinhz	Thien Dia Gioi	0	102	30038	1
2019_09_17 22:55:08	chingakaka	84OfBeDeTraVinhz	Nhat Nguyet Gioi	0	102	30037	1
2019_09_17 22:55:08	chingakaka	84OfBeDeTraVinhz	Linh Do Gioi Trai	0	102	30221	5
2019_09_17 22:55:08	chingakaka	84OfBeDeTraVinhz	Linh Do Gioi Phai	0	102	30222	2
2019_09_17 22:55:08	chingakaka	84OfBeDeTraVinhz	Linh Do Y 2	0	100	30236	8
2019_09_17 22:55:08	chingakaka	84OfBeDeTraVinhz	Linh Do Trang 2	0	101	30236	5
2019_09_17 22:55:08	doanvu2011	aaaaaTLT	Linh Do Gioi Trai	0	102	30221	1
