StatTime	Account	Role	ItemName	G	D	P	Cnt
2019_07_08 21:25:40	anhdayhpv02	0000000000000	Linh Do Y 1	0	100	30235	1
2019_07_08 21:25:40	anhdayhpv02	0000000000000	Linh Do Trang 1	0	101	30235	1
2019_07_08 21:25:40	votrung103	0000000000000000	Thien Dia Gioi	0	102	30038	1
2019_07_08 21:25:40	votrung103	0000000000000000	Nhat Nguyet Gioi	0	102	30037	1
2019_07_08 21:25:40	lehongthanh1	000Ram000	Thien Dia Gioi	0	102	30038	1
2019_07_08 21:25:40	lehongthanh1	000Ram000	Nhat Nguyet Gioi	0	102	30037	1
2019_07_08 21:25:40	lehongthanh	000Rem000	Thiªn Th¹ch Tinh Th¹	2	1	1009	196
2019_07_08 21:25:40	lehongthanh	000Rem000	Thien Dia Gioi	0	102	30038	1
2019_07_08 21:25:40	lehongthanh	000Rem000	Nhat Nguyet Gioi	0	102	30037	1
2019_07_08 21:25:40	lehongthanh	000Rem000	Linh Do Gioi Trai	0	102	30221	1
2019_07_08 21:25:40	lehongthanh	000Rem000	Linh Do Gioi Phai	0	102	30222	1
2019_07_08 21:25:40	lehongthanh	000Rem000	Linh Do Y 4	0	100	30238	1
2019_07_08 21:25:40	anhhung1990wtb	00ooo00	Thien Dia Gioi	0	102	30038	1
2019_07_08 21:25:40	anhhung1990wtb	00ooo00	Nhat Nguyet Gioi	0	102	30037	1
2019_07_08 21:25:40	anhhung1990wtb	00ooo00	Linh Do Gioi Trai	0	102	30221	4
2019_07_08 21:25:40	anhhung1990wtb	00ooo00	Linh Do Gioi Phai	0	102	30222	4
2019_07_08 21:25:40	anhhung1990wtb	00ooo00	Linh Do Mao	0	103	30235	4
2019_07_08 21:25:40	anhhung1990wtb	00ooo00	Linh Do Y 1	0	100	30235	4
2019_07_08 21:25:40	anhhung1990wtb	00ooo00	Linh Do Trang 1	0	101	30235	4
2019_07_08 21:25:40	ccccccc1111	0202222022	Thien Dia Gioi	0	102	30038	1
2019_07_08 21:25:40	ccccccc1111	0202222022	Nhat Nguyet Gioi	0	102	30037	1
2019_07_08 21:25:40	ccccccc1111	0202222022	Linh Do Gioi Phai	0	102	30222	1
2019_07_08 21:25:40	ccccccc1111	0202222022	Linh Do Mao	0	103	30235	1
2019_07_08 21:25:40	ccccccc1111	0202222022	Linh Do Y 1	0	100	30235	1
2019_07_08 21:25:40	ccccccc1111	0202222022	Linh Do Trang 1	0	101	30235	1
2019_07_08 21:25:40	lamhoang12542	051154	Cuu Thien Vo Cuc Don	2	1	1006	1
2019_07_08 21:25:40	lamhoang12542	051154	Xu	2	1	30230	13000
2019_07_08 21:25:40	lamhoang12542	051154	Thien Dia Gioi	0	102	30038	1
2019_07_08 21:25:40	lamhoang12542	051154	Nhat Nguyet Gioi	0	102	30037	1
2019_07_08 21:25:40	lamhoang12542	051154	Linh Do Gioi Trai	0	102	30221	1
